epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,56679.8,1.80073,1.41747,1.9528,1.54681,0.57327,0.45563,0.47482,0.24005,0.54538,0.4386,0.45398,0.21535,1.7976,1.40069,1.77672,1.51307,0.000818364,0.000818364,0.000818364
102,57220.7,1.7993,1.40765,1.9428,1.54763,0.57569,0.45393,0.47514,0.24049,0.54553,0.43803,0.45451,0.21565,1.79763,1.40038,1.77478,1.51263,0.000816547,0.000816547,0.000816547
103,57761.3,1.79094,1.37755,1.92759,1.54124,0.57448,0.45416,0.47607,0.24147,0.54488,0.43949,0.45508,0.21639,1.79639,1.39997,1.7722,1.51131,0.000814731,0.000814731,0.000814731
104,58303.4,1.79805,1.40505,1.93535,1.54564,0.57444,0.45567,0.47686,0.24183,0.54474,0.44148,0.45664,0.21663,1.79611,1.3992,1.7701,1.51087,0.000812915,0.000812915,0.000812915
105,58846.6,1.79535,1.39965,1.93849,1.54885,0.57354,0.45615,0.47712,0.24215,0.54389,0.44161,0.45686,0.21653,1.79624,1.39866,1.76837,1.51034,0.000811098,0.000811098,0.000811098
106,59387.2,1.79659,1.39714,1.94048,1.54302,0.57645,0.45539,0.47751,0.2426,0.54975,0.43899,0.4574,0.21708,1.79629,1.39821,1.76535,1.5098,0.000809282,0.000809282,0.000809282
107,59927.2,1.78885,1.39858,1.92939,1.54551,0.57533,0.45744,0.47826,0.24307,0.54618,0.44271,0.45845,0.21725,1.79588,1.3976,1.76309,1.50949,0.000807465,0.000807465,0.000807465
108,60467.3,1.79109,1.40312,1.92768,1.54358,0.57643,0.45811,0.4792,0.24345,0.5481,0.44384,0.45886,0.21773,1.79581,1.39846,1.76087,1.50959,0.000805649,0.000805649,0.000805649
109,61011.1,1.79062,1.40131,1.92412,1.53915,0.57662,0.4581,0.48039,0.24376,0.54865,0.44421,0.45987,0.21819,1.79572,1.39854,1.7588,1.50914,0.000803833,0.000803833,0.000803833
110,61552.9,1.79175,1.39317,1.93197,1.5404,0.57547,0.46077,0.48149,0.24439,0.54673,0.4461,0.45993,0.21831,1.79479,1.39724,1.75714,1.50842,0.000802016,0.000802016,0.000802016
111,62092.6,1.79369,1.39192,1.92962,1.54316,0.5743,0.46204,0.48197,0.24469,0.54719,0.44593,0.46007,0.21857,1.79461,1.39684,1.75534,1.50773,0.0008002,0.0008002,0.0008002
112,62634.5,1.78747,1.39298,1.93078,1.53505,0.57625,0.46204,0.48279,0.24514,0.54433,0.44818,0.46065,0.21916,1.79468,1.3971,1.75373,1.50693,0.000798384,0.000798384,0.000798384
113,63177.1,1.79102,1.41979,1.92582,1.54301,0.57768,0.46216,0.48372,0.24574,0.54779,0.44704,0.46114,0.21957,1.79436,1.39672,1.75173,1.50691,0.000796567,0.000796567,0.000796567
114,63722.2,1.79171,1.41227,1.92257,1.53982,0.57491,0.46565,0.48485,0.24594,0.54857,0.44719,0.46142,0.21953,1.79464,1.39624,1.74973,1.50677,0.000794751,0.000794751,0.000794751
115,64264.3,1.78928,1.39799,1.92245,1.53601,0.57709,0.46552,0.485,0.24635,0.54972,0.44976,0.46254,0.21998,1.79404,1.39602,1.7473,1.50612,0.000792935,0.000792935,0.000792935
116,64805.5,1.79131,1.39752,1.92643,1.54013,0.57776,0.46489,0.48522,0.24697,0.55137,0.44892,0.4636,0.22097,1.79354,1.3962,1.74463,1.50563,0.000791118,0.000791118,0.000791118
117,65346.2,1.79308,1.40398,1.92191,1.53825,0.57787,0.46462,0.48572,0.24745,0.5528,0.44835,0.46426,0.22135,1.79285,1.39592,1.74222,1.50514,0.000789302,0.000789302,0.000789302
118,65887,1.77554,1.37542,1.91741,1.5366,0.57859,0.46405,0.4863,0.24789,0.55536,0.44791,0.46547,0.22165,1.79098,1.39501,1.73906,1.50407,0.000787485,0.000787485,0.000787485
119,66428.6,1.78337,1.38874,1.91024,1.53061,0.57866,0.46359,0.48645,0.24798,0.55239,0.44777,0.46517,0.2217,1.78995,1.39274,1.73661,1.50304,0.000785669,0.000785669,0.000785669
120,66971.6,1.78177,1.39186,1.91411,1.53185,0.57863,0.46386,0.48639,0.24803,0.55111,0.44937,0.46547,0.22198,1.78872,1.39203,1.73442,1.50166,0.000783853,0.000783853,0.000783853
121,67515.5,1.78899,1.40188,1.9125,1.54171,0.57624,0.46668,0.4874,0.24843,0.55035,0.45137,0.46603,0.22269,1.78781,1.39192,1.73283,1.50113,0.000782036,0.000782036,0.000782036
122,68056.4,1.7841,1.3904,1.91434,1.53744,0.57738,0.46648,0.48728,0.24859,0.55256,0.45094,0.46607,0.22272,1.78649,1.39187,1.73112,1.50004,0.00078022,0.00078022,0.00078022
123,68595.5,1.77567,1.38437,1.91828,1.53469,0.57863,0.46635,0.48818,0.24903,0.55014,0.45393,0.46659,0.22306,1.78547,1.39052,1.7296,1.49926,0.000778404,0.000778404,0.000778404
